Rank,City,Population
1,New York,"8,804,190"
2,Hempstead,"793,409"
3,Brookhaven,"485,773"
4,Islip,"339,938"
5,Oyster Bay,"301,332"
6,Buffalo,"278,349"
7,North Hempstead,"237,639"
8,Babylon,"218,223"
9,Yonkers,"211,569"
10,Rochester,"211,328"
11,Huntington,"204,127"
12,Ramapo,"148,919"
13,Syracuse,"148,620"
14,Amherst,"129,595"
15,Smithtown,"116,296"
16,Albany,"99,224"
17,Greece,"96,926"
18,Greenburgh,"95,397"
19,Cheektowaga,"89,877"
20,Clarkstown,"86,855"
21,Colonie,"85,590"
22,New Rochelle,"79,726"
23,Mount Vernon,"73,893"
24,Tonawanda town,"72,636"
25,Southampton,"69,036"
26,Schenectady,"67,047"
27,Utica,"65,283"
28,Clay,"60,527"
29,Hamburg,"60,085"
30,White Plains,"59,559"
31,Hempstead village,"59,169"
32,Union,"56,138"
33,Troy,"51,401"
34,Irondequoit,"51,043"
35,Rye town,"49,613"
36,Niagara Falls,"48,671"
37,Orangetown,"48,655"
38,Binghamton,"47,969"
39,Perinton,"47,479"
40,Henrietta,"47,096"
41,West Seneca,"45,500"
42,Poughkeepsie town,"45,471"
43,Webster,"45,327"
44,Lancaster,"45,106"
45,Freeport,"44,472"
46,Mount Pleasant,"44,436"
47,Cortlandt,"42,545"
48,Valley Stream,"40,634"
49,Ossining,"40,061"
50,Penfield,"39,438"
51,Haverstraw,"39,087"
52,Clifton Park,"38,029"
53,Brighton town,"37,137"
54,Guilderland,"36,848"
55,Yorktown,"36,569"
56,Riverhead,"35,902"
57,Bethlehem,"35,034"
58,Long Beach,"35,029"
59,Eastchester,"34,641"
60,Manlius,"33,712"
61,Carmel,"33,576"
62,Salina,"33,223"
63,Spring Valley,"33,066"
64,Kiryas Joel and Palm Tree,"32,954"
65,Clarence,"32,950"
66,Rome,"32,127"
67,Ithaca,"32,108"
68,Warwick,"32,027"
69,Newburgh town,"31,985"
70,Mamaroneck,"31,758"
71,Port Chester,"31,693"
72,Poughkeepsie,"31,577"
73,Cicero,"31,435"
74,Pittsford,"30,617"
75,Rotterdam,"30,523"
76,North Tonawanda,"30,496"
77,Wallkill,"30,486"
78,Middletown city,"30,345"
79,East Fishkill,"29,707"
80,Orchard Park,"29,686"
81,Glenville,"29,326"
82,Vestal,"29,313"
83,Queensbury,"29,169"
84,Gates,"29,167"
85,Chili,"29,123"
86,Newburgh,"28,856"
87,Jamestown,"28,712"
88,Saratoga Springs,"28,491"
89,East Hampton,"28,385"
90,Glen Cove,"28,365"
91,Harrison,"28,218"
92,Wappinger,"28,216"
93,New Windsor,"27,805"
94,Ossining village,"27,551"
95,Lindenhurst,"27,148"
96,Auburn,"26,866"
97,Elmira,"26,523"
98,De Witt,"26,074"
99,Rockville Centre,"26,016"
100,Halfmoon,"25,662"
101,Le Ray,"25,574"
102,Peekskill,"25,431"
103,Camillus,"25,346"
104,Watertown,"24,685"
105,Fishkill,"24,226"
